Acc Z,Labels
-0.203125,Walking
-0.203125,Walking
-0.1875,Walking
-0.203125,Walking
-0.1875,Walking
-0.21875,Walking
-0.203125,Walking
-0.21875,Walking
-0.21875,Walking
-0.171875,Walking
-0.1875,Walking
-0.1875,Walking
-0.1875,Walking
-0.171875,Walking
-0.1875,Walking
-0.171875,Walking
-0.171875,Walking
-0.1875,Walking
-0.1875,Walking
-0.171875,Walking
-0.15625,Walking
-0.1875,Walking
-0.203125,Walking
-0.1875,Walking
-0.171875,Walking
-0.1875,Walking
-0.203125,Walking
-0.203125,Walking
-0.203125,Walking
-0.21875,Walking
-0.21875,Walking
-0.1875,Walking
-0.1875,Walking
-0.171875,Walking
-0.15625,Walking
-0.171875,Walking
-0.171875,Walking
-0.171875,Walking
-0.203125,Walking
-0.1875,Walking
-0.171875,Walking
-0.171875,Walking
-0.171875,Walking
-0.1875,Walking
-0.1875,Walking
-0.1875,Walking
-0.171875,Walking
-0.171875,Walking
-0.171875,Walking
-0.1875,Walking
-0.203125,Walking
-0.203125,Walking
-0.203125,Walking
-0.1875,Walking
-0.15625,Walking
-0.15625,Walking
-0.171875,Walking
-0.171875,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.171875,Walking
-0.171875,Walking
-0.1875,Walking
-0.171875,Walking
-0.171875,Walking
-0.15625,Walking
-0.15625,Walking
-0.171875,Walking
-0.1875,Walking
-0.171875,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.140625,Walking
-0.125,Walking
-0.140625,Walking
-0.171875,Walking
-0.171875,Walking
-0.171875,Walking
-0.15625,Walking
-0.125,Walking
-0.109375,Walking
-0.078125,Walking
-0.078125,Walking
-0.078125,Walking
-0.09375,Walking
-0.109375,Walking
-0.140625,Walking
-0.15625,Walking
-0.140625,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.140625,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.171875,Walking
-0.1875,Walking
-0.1875,Walking
-0.203125,Walking
-0.203125,Walking
-0.21875,Walking
-0.203125,Walking
-0.203125,Walking
-0.203125,Walking
-0.21875,Walking
-0.21875,Walking
-0.21875,Walking
-0.21875,Walking
-0.203125,Walking
-0.203125,Walking
-0.1875,Walking
-0.171875,Walking
-0.140625,Walking
-0.125,Walking
-0.140625,Walking
-0.15625,Walking
-0.15625,Walking
-0.140625,Walking
-0.140625,Walking
-0.125,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.15625,Walking
-0.15625,Walking
-0.140625,Walking
-0.125,Walking
-0.140625,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.171875,Walking
-0.171875,Walking
-0.171875,Walking
-0.1875,Walking
-0.140625,Walking
-0.09375,Walking
-0.140625,Walking
-0.171875,Walking
-0.15625,Walking
-0.140625,Walking
-0.140625,Walking
-0.125,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.171875,Walking
-0.21875,Walking
-0.28125,Walking
-0.265625,Walking
-0.203125,Walking
-0.171875,Walking
-0.171875,Walking
-0.171875,Walking
-0.140625,Walking
-0.125,Walking
-0.125,Walking
-0.109375,Walking
-0.109375,Walking
-0.078125,Walking
-0.03125,Walking
-0.015625,Walking
-0.03125,Walking
-0.09375,Walking
-0.140625,Walking
-0.140625,Walking
-0.171875,Walking
-0.140625,Walking
-0.109375,Walking
-0.078125,Walking
-0.046875,Walking
-0.0625,Walking
-0.078125,Walking
-0.0625,Walking
-0.0625,Walking
-0.09375,Walking
-0.078125,Walking
-0.078125,Walking
-0.078125,Walking
-0.09375,Walking
-0.109375,Walking
-0.125,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.125,Walking
-0.125,Walking
-0.109375,Walking
-0.125,Walking
-0.125,Walking
-0.140625,Walking
-0.140625,Walking
-0.125,Walking
-0.09375,Walking
-0.09375,Walking
-0.109375,Walking
-0.109375,Walking
-0.078125,Walking
-0.078125,Walking
-0.109375,Walking
-0.109375,Walking
-0.109375,Walking
-0.125,Walking
-0.140625,Walking
-0.15625,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.109375,Walking
-0.09375,Walking
-0.09375,Walking
-0.125,Walking
-0.140625,Walking
-0.125,Walking
-0.140625,Walking
-0.140625,Walking
-0.171875,Walking
-0.21875,Walking
-0.25,Walking
-0.265625,Walking
-0.234375,Walking
-0.21875,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.265625,Walking
-0.3125,Walking
-0.328125,Walking
-0.3125,Walking
-0.296875,Walking
-0.28125,Walking
-0.3125,Walking
-0.3125,Walking
-0.3125,Walking
-0.3125,Walking
-0.265625,Walking
-0.265625,Walking
-0.25,Walking
-0.21875,Walking
-0.1875,Walking
-0.1875,Walking
-0.21875,Walking
-0.234375,Walking
-0.21875,Walking
-0.21875,Walking
-0.234375,Walking
-0.21875,Walking
-0.203125,Walking
-0.21875,Walking
-0.234375,Walking
-0.234375,Walking
-0.21875,Walking
-0.1875,Walking
-0.1875,Walking
-0.21875,Walking
-0.234375,Walking
-0.234375,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.21875,Walking
-0.234375,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.265625,Walking
-0.28125,Walking
-0.28125,Walking
-0.28125,Walking
-0.28125,Walking
-0.265625,Walking
-0.25,Walking
-0.234375,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.234375,Walking
-0.234375,Walking
-0.234375,Walking
-0.25,Walking
-0.234375,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.234375,Walking
-0.21875,Walking
-0.203125,Walking
-0.203125,Walking
-0.203125,Walking
-0.21875,Walking
-0.21875,Walking
-0.21875,Walking
-0.203125,Walking
-0.21875,Walking
-0.234375,Walking
-0.234375,Walking
-0.203125,Walking
-0.21875,Walking
-0.25,Walking
-0.25,Walking
-0.234375,Walking
-0.21875,Walking
-0.21875,Walking
-0.203125,Walking
-0.203125,Walking
-0.203125,Walking
-0.21875,Walking
-0.234375,Walking
-0.21875,Walking
-0.21875,Walking
-0.21875,Walking
-0.21875,Walking
-0.21875,Walking
-0.234375,Walking
-0.234375,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.234375,Walking
-0.25,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.25,Walking
-0.25,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.28125,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.28125,Walking
-0.296875,Walking
-0.296875,Walking
-0.296875,Walking
-0.28125,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.21875,Walking
-0.203125,Walking
-0.203125,Walking
-0.203125,Walking
-0.203125,Walking
-0.203125,Walking
-0.1875,Walking
-0.1875,Walking
-0.1875,Walking
-0.1875,Walking
-0.171875,Walking
-0.171875,Walking
-0.15625,Walking
-0.15625,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.125,Walking
-0.109375,Walking
-0.078125,Walking
-0.078125,Walking
-0.140625,Walking
-0.1875,Walking
-0.21875,Walking
-0.234375,Walking
-0.203125,Walking
-0.203125,Walking
-0.203125,Walking
-0.1875,Walking
-0.171875,Walking
-0.171875,Walking
-0.15625,Walking
-0.15625,Walking
-0.171875,Walking
-0.15625,Walking
-0.171875,Walking
-0.15625,Walking
-0.140625,Walking
-0.109375,Walking
-0.109375,Walking
-0.125,Walking
-0.109375,Walking
-0.125,Walking
-0.09375,Walking
-0.078125,Walking
-0.109375,Walking
-0.171875,Walking
-0.25,Walking
-0.265625,Walking
-0.25,Walking
-0.21875,Walking
-0.21875,Walking
-0.234375,Walking
-0.265625,Walking
-0.296875,Walking
-0.296875,Walking
-0.265625,Walking
-0.21875,Walking
-0.1875,Walking
-0.171875,Walking
-0.15625,Walking
-0.125,Walking
-0.125,Walking
-0.109375,Walking
-0.09375,Walking
-0.09375,Walking
-0.171875,Walking
-0.1875,Walking
-0.109375,Walking
-0.0625,Walking
-0.078125,Walking
-0.109375,Walking
-0.109375,Walking
-0.09375,Walking
-0.09375,Walking
-0.09375,Walking
-0.09375,Walking
-0.109375,Walking
-0.109375,Walking
-0.125,Walking
-0.125,Walking
-0.09375,Walking
-0.09375,Walking
-0.09375,Walking
-0.109375,Walking
-0.109375,Walking
-0.109375,Walking
-0.109375,Walking
-0.09375,Walking
-0.078125,Walking
-0.078125,Walking
-0.078125,Walking
-0.0625,Walking
-0.0625,Walking
-0.0625,Walking
-0.0625,Walking
-0.0625,Walking
-0.046875,Walking
-0.03125,Walking
-0.03125,Walking
-0.0625,Walking
-0.078125,Walking
-0.0625,Walking
-0.03125,Walking
-0.046875,Walking
-0.03125,Walking
-0.046875,Walking
-0.046875,Walking
-0.015625,Walking
0,Walking
0,Walking
0,Walking
-0.015625,Walking
-0.015625,Walking
-0.015625,Walking
-0.015625,Walking
-0.015625,Walking
-0.015625,Walking
0,Walking
-0.015625,Walking
-0.03125,Walking
-0.0625,Walking
-0.109375,Walking
-0.171875,Walking
-0.203125,Walking
-0.21875,Walking
-0.234375,Walking
-0.265625,Walking
-0.3125,Walking
-0.34375,Walking
-0.375,Walking
-0.421875,Walking
-0.421875,Walking
-0.390625,Walking
-0.34375,Walking
-0.28125,Walking
-0.25,Walking
-0.21875,Walking
-0.203125,Walking
-0.203125,Walking
-0.234375,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.234375,Walking
-0.25,Walking
-0.265625,Walking
-0.265625,Walking
-0.25,Walking
-0.265625,Walking
-0.28125,Walking
-0.265625,Walking
-0.234375,Walking
-0.203125,Walking
-0.171875,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.15625,Walking
-0.15625,Walking
-0.125,Walking
-0.09375,Walking
-0.09375,Walking
-0.09375,Walking
-0.09375,Walking
-0.09375,Walking
-0.078125,Walking
-0.078125,Walking
-0.0625,Walking
-0.046875,Walking
-0.046875,Walking
-0.03125,Walking
-0.046875,Walking
-0.078125,Walking
-0.078125,Walking
-0.0625,Walking
-0.015625,Walking
0,Walking
-0.015625,Walking
-0.015625,Walking
-0.015625,Walking
-0.078125,Walking
-0.15625,Walking
-0.234375,Walking
-0.25,Walking
-0.234375,Walking
-0.25,Walking
-0.234375,Walking
-0.21875,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.28125,Walking
-0.296875,Walking
-0.265625,Walking
-0.25,Walking
-0.21875,Walking
-0.203125,Walking
-0.203125,Walking
-0.1875,Walking
-0.1875,Walking
-0.203125,Walking
-0.203125,Walking
-0.171875,Walking
-0.171875,Walking
-0.203125,Walking
-0.203125,Walking
-0.1875,Walking
-0.171875,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.171875,Walking
-0.15625,Walking
-0.125,Walking
-0.109375,Walking
-0.109375,Walking
-0.125,Walking
-0.125,Walking
-0.125,Walking
-0.109375,Walking
-0.109375,Walking
-0.09375,Walking
-0.09375,Walking
-0.109375,Walking
-0.109375,Walking
-0.109375,Walking
-0.109375,Walking
-0.09375,Walking
-0.109375,Walking
-0.109375,Walking
-0.125,Walking
-0.125,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.125,Walking
-0.125,Walking
-0.125,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.140625,Walking
-0.125,Walking
-0.125,Walking
-0.125,Walking
-0.125,Walking
-0.140625,Walking
-0.109375,Walking
-0.109375,Walking
-0.109375,Walking
-0.109375,Walking
-0.109375,Walking
-0.125,Walking
-0.15625,Walking
-0.1875,Walking
-0.234375,Walking
-0.25,Walking
-0.25,Walking
-0.28125,Walking
-0.3125,Walking
-0.3125,Walking
-0.296875,Walking
-0.265625,Walking
-0.25,Walking
-0.25,Walking
-0.265625,Walking
-0.265625,Walking
-0.25,Walking
-0.203125,Walking
-0.171875,Walking
-0.125,Walking
-0.125,Walking
-0.125,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.15625,Walking
-0.140625,Walking
-0.140625,Walking
-0.15625,Walking
-0.171875,Walking
-0.171875,Walking
-0.15625,Walking
-0.140625,Walking
-0.15625,Walking
-0.171875,Walking
-0.171875,Walking
-0.171875,Walking
-0.171875,Walking
-0.171875,Walking
-0.203125,Walking
-0.21875,Walking
-0.25,Walking
-0.28125,Walking
-0.28125,Walking
-0.296875,Walking
-0.28125,Walking
-0.25,Walking
-0.25,Walking
-0.25,Walking
-0.234375,Walking
-0.234375,Walking
-0.25,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.265625,Walking
-0.28125,Walking
-0.296875,Walking
-0.28125,Walking
-0.296875,Walking
-0.3125,Walking
-0.34375,Walking
-0.34375,Walking
-0.359375,Walking
-0.359375,Walking
-0.3125,Walking
-0.25,Walking
-0.1875,Walking
-0.171875,Walking
-0.171875,Walking
-0.1875,Walking
-0.203125,Walking
-0.21875,Walking
-0.234375,Walking
-0.25,Walking
-0.265625,Walking
-0.265625,Walking
-0.25,Walking
-0.1875,Walking
-0.140625,Walking
-0.1875,Walking
-0.203125,Walking
-0.234375,Walking
-0.25,Walking
-0.25,Postural Transition
-0.234375,Postural Transition
-0.21875,Postural Transition
-0.171875,Postural Transition
-0.171875,Postural Transition
-0.15625,Postural Transition
-0.171875,Postural Transition
-0.203125,Postural Transition
-0.1875,Postural Transition
-0.203125,Postural Transition
-0.1875,Postural Transition
-0.1875,Postural Transition
-0.21875,Postural Transition
-0.234375,Postural Transition
-0.265625,Postural Transition
-0.28125,Postural Transition
-0.28125,Postural Transition
-0.265625,Postural Transition
-0.265625,Postural Transition
-0.265625,Postural Transition
-0.3125,Postural Transition
-0.34375,Postural Transition
-0.328125,Postural Transition
-0.3125,Postural Transition
-0.328125,Postural Transition
-0.328125,Postural Transition
-0.34375,Postural Transition
-0.375,Postural Transition
-0.375,Postural Transition
-0.375,Postural Transition
-0.375,Postural Transition
-0.375,Postural Transition
-0.375,Postural Transition
-0.375,Postural Transition
-0.40625,Postural Transition
-0.40625,Postural Transition
-0.421875,Postural Transition
-0.421875,Postural Transition
-0.421875,Postural Transition
-0.421875,Postural Transition
-0.40625,Postural Transition
-0.40625,Postural Transition
-0.421875,Postural Transition
-0.421875,Postural Transition
-0.4375,Postural Transition
-0.453125,Postural Transition
-0.46875,Postural Transition
-0.484375,Postural Transition
-0.5,Postural Transition
-0.5,Postural Transition
-0.484375,Postural Transition
-0.453125,Postural Transition
-0.46875,Postural Transition
-0.484375,Postural Transition
-0.515625,Postural Transition
-0.515625,Postural Transition
-0.5,Postural Transition
-0.484375,Postural Transition
-0.5,Postural Transition
-0.515625,Postural Transition
-0.5,Postural Transition
-0.46875,Postural Transition
-0.4375,Postural Transition
-0.453125,Postural Transition
-0.453125,Postural Transition
-0.453125,Postural Transition
-0.4375,Postural Transition
-0.40625,Postural Transition
-0.40625,Postural Transition
-0.4375,Postural Transition
-0.453125,Postural Transition
-0.4375,Postural Transition
-0.4375,Postural Transition
-0.453125,Postural Transition
-0.453125,Postural Transition
-0.453125,Postural Transition
-0.421875,Postural Transition
-0.421875,Postural Transition
-0.453125,Postural Transition
-0.453125,Postural Transition
-0.4375,Postural Transition
-0.421875,Postural Transition
-0.390625,Postural Transition
-0.421875,Postural Transition
-0.453125,Postural Transition
-0.453125,Postural Transition
-0.453125,Postural Transition
-0.4375,Postural Transition
-0.421875,Postural Transition
-0.390625,Postural Transition
-0.390625,Postural Transition
-0.390625,Postural Transition
-0.390625,Postural Transition
-0.4375,Postural Transition
-0.5,Postural Transition
