Acc Z,Labels,Acc Z,Labels,Acc Z,Labels,Acc Z,Labels,Acc Z,Labels,Acc Z,Labels,Acc Z,Labels,Acc Z,Labels
-0.203125,Walking,-0.140625,Walking,-0.265625,Still,-0.265625,Walking,-0.328125,Still,0.015625,Sitting,-0.203125,Sitting,-0.265625,Sitting
-0.203125,Walking,-0.046875,Walking,-0.25,Still,-0.265625,Walking,-0.328125,Still,0.03125,Sitting,-0.203125,Sitting,-0.265625,Sitting
-0.1875,Walking,-0.203125,Walking,-0.25,Still,-0.265625,Walking,-0.34375,Still,0.046875,Sitting,-0.203125,Sitting,-0.28125,Sitting
-0.203125,Walking,-0.171875,Walking,-0.25,Still,-0.265625,Walking,-0.296875,Still,0.03125,Sitting,-0.203125,Sitting,-0.265625,Sitting
-0.1875,Walking,-0.140625,Walking,-0.25,Still,-0.265625,Walking,-0.328125,Still,0.03125,Sitting,-0.203125,Sitting,-0.28125,Sitting
-0.21875,Walking,-0.171875,Walking,-0.25,Still,-0.265625,Walking,-0.3125,Still,0.03125,Sitting,-0.203125,Sitting,-0.28125,Sitting
-0.203125,Walking,-0.15625,Walking,-0.25,Still,-0.265625,Walking,-0.296875,Still,0.046875,Sitting,-0.203125,Sitting,-0.265625,Sitting
-0.21875,Walking,-0.140625,Walking,-0.25,Still,-0.265625,Walking,-0.296875,Still,0.03125,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.21875,Walking,-0.140625,Walking,-0.265625,Still,-0.265625,Walking,-0.3125,Still,0.03125,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.265625,Still,-0.265625,Walking,-0.265625,Still,0.03125,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.140625,Walking,-0.265625,Still,-0.265625,Walking,-0.359375,Still,0.03125,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.140625,Walking,-0.265625,Still,-0.265625,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.125,Walking,-0.265625,Still,-0.265625,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.125,Walking,-0.25,Still,-0.265625,Walking,-0.3125,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.125,Walking,-0.25,Still,-0.265625,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.125,Walking,-0.234375,Still,-0.265625,Walking,-0.296875,Still,0.03125,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.125,Walking,-0.21875,Still,-0.265625,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.1875,Walking,-0.140625,Walking,-0.1875,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.1875,Walking,-0.140625,Walking,-0.203125,Still,-0.265625,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.140625,Walking,-0.203125,Still,-0.265625,Walking,-0.328125,Still,0.046875,Sitting,-0.203125,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.140625,Walking,-0.21875,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.203125,Sitting,-0.265625,Sitting
-0.1875,Walking,-0.140625,Walking,-0.21875,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.203125,Walking,-0.140625,Walking,-0.25,Still,-0.25,Walking,-0.3125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.1875,Walking,-0.140625,Walking,-0.25,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.140625,Walking,-0.25,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.1875,Walking,-0.140625,Walking,-0.21875,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.203125,Walking,-0.140625,Walking,-0.21875,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.203125,Walking,-0.140625,Walking,-0.203125,Still,-0.25,Walking,-0.34375,Still,0.03125,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.203125,Walking,-0.140625,Walking,-0.21875,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.21875,Walking,-0.125,Walking,-0.21875,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.21875,Walking,-0.140625,Walking,-0.234375,Still,-0.25,Walking,-0.34375,Still,0.03125,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.1875,Walking,-0.140625,Walking,-0.234375,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.15625,Walking,-0.25,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.234375,Still,-0.25,Walking,-0.328125,Still,0.03125,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.15625,Walking,-0.140625,Walking,-0.234375,Still,-0.25,Walking,-0.34375,Still,0.03125,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.21875,Still,-0.25,Walking,-0.34375,Still,0.03125,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.203125,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.203125,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.203125,Walking,-0.140625,Walking,-0.21875,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.140625,Walking,-0.21875,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.234375,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.234375,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.21875,Still,-0.25,Walking,-0.34375,Still,0.03125,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.140625,Walking,-0.203125,Still,-0.25,Walking,-0.34375,Still,0.03125,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.140625,Walking,-0.1875,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.203125,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.140625,Walking,-0.1875,Still,-0.234375,Walking,-0.34375,Still,0.046875,Sitting,-0.203125,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.1875,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.15625,Walking,-0.1875,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.15625,Walking,-0.203125,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.15625,Walking,-0.203125,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.203125,Walking,-0.140625,Walking,-0.203125,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.203125,Walking,-0.140625,Walking,-0.1875,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.203125,Walking,-0.140625,Walking,-0.1875,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.1875,Walking,-0.140625,Walking,-0.1875,Still,-0.25,Walking,-0.34375,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
